year,month,dow_average,month_int,gold_price,DOW_div_gold,dow_div_gold_monthly_change,monthyly_cpi
1915,Jan,57.25,1,488.66,0.117164286,0,10.10
1915,Feb,56.07,2,493.55,0.113610014,-0.003554272,10.00
1915,Mar,57.58,3,498.54,0.115499868,0.001889855,9.90
1915,Apr,66.79,4,493.55,0.135322807,0.019822939,10.00
1915,May,64.85,5,488.66,0.13270372,-0.002619087,10.10
1915,Jun,69.65,6,488.66,0.142535431,0.00983171,10.10
1915,Jul,71.79,7,488.66,0.14690904,0.004373609,10.10
1915,Aug,79.16,8,488.66,0.161991234,0.015082194,10.10
1915,Sep,84.00,9,488.66,0.171900611,0.009909377,10.10
1915,Oct,93.04,10,483.87,0.192279951,0.020379341,10.20
1915,Nov,95.18,11,479.17,0.198630966,0.006351015,10.30
1915,Dec,97.56,12,479.17,0.203609321,0.004978355,10.30
1916,Jan,95.18,1,479.99,0.198298774,-0.005310547,10.40
1916,Feb,94.13,2,479.99,0.196102002,-0.002196772,10.40
1916,Mar,93.52,3,475.42,0.196703876,0.000601873,10.50
1916,Apr,91.23,4,470.94,0.193713357,-0.002990518,10.60
1916,May,90.91,5,466.54,0.194855162,0.001141805,10.70
1916,Jun,91.00,6,462.22,0.19688578,0.002030618,10.80
1916,Jul,88.47,7,462.22,0.191403444,-0.005482336,10.80
1916,Aug,91.11,8,457.97,0.198943162,0.007539718,10.90
1916,Sep,98.12,9,449.72,0.21818576,0.019242598,11.10
1916,Oct,103.02,10,441.75,0.233209906,0.015024146,11.30
1916,Nov,107.62,11,434.08,0.247926649,0.014716743,11.50
1916,Dec,99.97,12,430.35,0.232295806,-0.015630844,11.60
1917,Jan,96.64,1,430.83,0.224310158,-0.007985648,11.70
1917,Feb,91.89,2,420.06,0.218762399,-0.005547759,12.00
1917,Mar,95.81,3,420.06,0.228096203,0.009333804,12.00
1917,Apr,92.95,4,400.04,0.232341766,0.004245563,12.60
1917,May,92.81,5,393.79,0.235672451,0.003330685,12.80
1917,Jun,96.88,6,387.73,0.249851701,0.01417925,13.00
1917,Jul,92.50,7,393.79,0.234893145,-0.014958556,12.80
1917,Aug,90.30,8,387.73,0.232899631,-0.001993514,13.00
1917,Sep,83.66,9,378.99,0.220747388,-0.012152243,13.30
1917,Oct,78.56,10,373.38,0.210407141,-0.010340247,13.50
1917,Nov,71.56,11,373.38,0.191645241,-0.0187619,13.50
1917,Dec,69.44,12,367.94,0.188722346,-0.002922895,13.70
1918,Jan,75.66,1,363.35,0.208242086,0.01951974,14.00
1918,Feb,79.83,2,360.77,0.221269784,0.013027698,14.10
1918,Mar,78.43,3,363.35,0.215863493,-0.005406292,14.00
1918,Apr,77.48,4,358.23,0.216283089,0.000419596,14.20
1918,May,80.88,5,350.81,0.230552151,0.014269062,14.50
1918,Jun,80.67,6,346.03,0.233127186,0.002575035,14.70
1918,Jul,81.66,7,336.86,0.242419295,0.009292109,15.10
1918,Aug,81.81,8,330.32,0.247660671,0.005241376,15.40
1918,Sep,82.41,9,324.01,0.254337504,0.006676834,15.70
1918,Oct,85.92,10,317.92,0.270248463,0.015910959,16.00
1918,Nov,84.47,11,312.06,0.270669102,0.000420639,16.30
1918,Dec,82.39,12,308.29,0.267249915,-0.003419187,16.50
1919,Jan,81.61,1,311.25,0.262196422,-0.005053493,16.50
1919,Feb,82.28,2,316.99,0.259579831,-0.002616591,16.20
1919,Mar,87.41,3,313.13,0.279154025,0.019574195,16.40
1919,Apr,91.08,4,307.52,0.296171213,0.017017188,16.70
1919,May,99.42,5,303.88,0.327155456,0.030984243,16.90
1919,Jun,105.27,6,303.88,0.346416505,0.019261049,16.90
1919,Jul,109.87,7,295.14,0.37225785,0.025841345,17.40
1919,Aug,102.56,8,290.13,0.353493426,-0.018764424,17.70
1919,Sep,107.74,9,288.51,0.373422065,0.019928639,17.80
1919,Oct,114.18,10,283.72,0.402434218,0.029012153,18.10
1919,Nov,110.71,11,277.6,0.398811239,-0.003622979,18.50
1919,Dec,105.55,12,271.73,0.388443743,-0.010367497,18.90
1920,Jan,104.54,1,274.05,0.381473662,-0.00697008,19.30
1920,Feb,94.36,2,271.24,0.347877648,-0.033596014,19.50
1920,Mar,99.50,3,268.5,0.370582139,0.022704491,19.70
1920,Apr,100.68,4,260.56,0.386394871,0.015812732,20.30
1920,May,91.32,5,256.76,0.355668718,-0.030726153,20.60
1920,Jun,91.26,6,253.07,0.360604504,0.004935786,20.90
1920,Jul,90.63,7,254.29,0.356411596,-0.004192908,20.80
1920,Aug,85.35,8,260.56,0.327568942,-0.028842654,20.30
1920,Sep,86.95,9,264.46,0.328801187,0.001232245,20.00
1920,Oct,84.94,10,265.8,0.319578631,-0.009222556,19.90
1920,Nov,78.64,11,267.14,0.294358763,-0.025219867,19.80
1920,Dec,71.75,12,272.65,0.263154705,-0.031204058,19.40
1921,Jan,75.05,1,279.19,0.268825292,0.005670587,19.00
1921,Feb,75.54,2,288.29,0.262035122,-0.00679017,18.40
1921,Mar,75.35,3,289.87,0.259959794,-0.002075328,18.30
1921,Apr,76.68,4,293.07,0.26165535,0.001695556,18.10
1921,May,77.20,5,299.69,0.257615409,-0.004039941,17.70
1921,Jun,69.00,6,301.41,0.228934613,-0.028680796,17.60
1921,Jul,68.53,7,299.69,0.228662952,-0.000271662,17.70
1921,Aug,66.79,8,299.69,0.22285202,-0.005810932,17.70
1921,Sep,70.13,9,303.13,0.231337176,0.008485156,17.50
1921,Oct,71.23,10,303.13,0.234965196,0.003628021,17.50
1921,Nov,75.92,11,304.87,0.249027627,0.014062431,17.40
1921,Dec,79.90,12,306.63,0.260569975,0.011542348,17.30
1922,Jan,80.84,1,316.16,0.255699345,-0.00487063,16.90
1922,Feb,83.94,2,316.16,0.265501996,0.009802652,16.90
1922,Mar,87.34,3,319.96,0.272968904,0.007466908,16.70
1922,Apr,91.67,4,319.96,0.286493048,0.013524145,16.70
1922,May,93.68,5,319.96,0.292785178,0.006292129,16.70
1922,Jun,93.36,6,319.96,0.291785053,-0.001000125,16.70
1922,Jul,95.18,7,318.04,0.299284681,0.007499628,16.80
1922,Aug,98.27,8,321.87,0.305305545,0.006020863,16.60
1922,Sep,99.82,9,321.87,0.310118992,0.004813448,16.60
1922,Oct,100.28,10,319.96,0.313415665,0.003296673,16.70
1922,Nov,95.84,11,318.04,0.301344171,-0.012071495,16.80
1922,Dec,97.60,12,316.16,0.308698128,0.007353957,16.90
1923,Jan,97.92,1,316.67,0.309209185,0.000511058,16.80
1923,Feb,101.81,2,316.67,0.32151416,0.012304974,16.80
1923,Mar,104.40,3,316.67,0.329689763,0.008175603,16.80
1923,Apr,101.54,4,314.8,0.322550977,-0.007138785,16.90
1923,May,96.22,5,314.8,0.305647164,-0.016903813,16.90
1923,Jun,93.72,6,312.95,0.299483411,-0.006163754,17.00
1923,Jul,89.26,7,309.3,0.288584053,-0.010899357,17.20
1923,Aug,90.91,8,311.13,0.292179199,0.003595146,17.10
1923,Sep,90.27,9,309.3,0.291844062,-0.000335137,17.20
1923,Oct,87.72,10,307.52,0.285246784,-0.006597278,17.30
1923,Nov,91.03,11,307.52,0.295997008,0.010750225,17.30
1923,Dec,94.09,12,307.52,0.305968717,0.009971709,17.30
1924,Jan,97.33,1,307.96,0.316053443,0.010084725,17.30
1924,Feb,98.70,2,309.75,0.318645767,0.002592324,17.20
1924,Mar,96.32,3,311.58,0.309126449,-0.009519318,17.10
1924,Apr,91.59,4,313.4,0.292234175,-0.016892274,17.00
1924,May,90.44,5,313.4,0.288579937,-0.003654238,17.00
1924,Jun,92.54,6,313.4,0.295265445,0.006685508,17.00
1924,Jul,98.33,7,311.58,0.315577788,0.020312343,17.10
1924,Aug,103.27,8,313.4,0.329499802,0.013922014,17.00
1924,Sep,102.90,9,311.58,0.330247678,0.000747875,17.10
1924,Oct,102.04,10,309.75,0.329440164,-0.000807513,17.20
1924,Nov,108.27,11,309.75,0.349536364,0.0200962,17.20
1924,Dec,114.09,12,307.96,0.370468715,0.02093235,17.30
1925,Jan,122.10,1,307.52,0.39703341,0.026564695,17.30
1925,Feb,120.95,2,309.3,0.391037109,-0.005996301,17.20
1925,Mar,120.78,3,307.52,0.392751987,0.001714878,17.30
1925,Apr,119.80,4,309.3,0.387336998,-0.005414989,17.20
1925,May,126.26,5,307.52,0.410574922,0.023237924,17.30
1925,Jun,128.76,6,304.01,0.423526738,0.012951816,17.50
1925,Jul,133.52,7,300.56,0.444227297,0.020700559,17.70
1925,Aug,139.70,8,300.56,0.464810132,0.020582835,17.70
1925,Sep,143.83,9,300.56,0.478527384,0.013717252,17.70
1925,Oct,149.79,10,300.56,0.498374463,0.019847079,17.70
1925,Nov,153.83,11,295.56,0.520455371,0.022080908,18.00
1925,Dec,154.25,12,297.2,0.51900312,-0.001452251,17.90
1926,Jan,156.53,1,296.77,0.527433703,0.008430583,17.90
1926,Feb,159.21,2,296.77,0.536485419,0.009051716,17.90
1926,Mar,146.50,3,298.45,0.49087532,-0.045610099,17.80
1926,Apr,140.44,4,296.77,0.473239658,-0.017635661,17.90
1926,May,140.15,5,298.45,0.469604624,-0.003635034,17.80
1926,Jun,149.11,6,300.13,0.49681956,0.027214936,17.70
1926,Jul,156.46,7,303.57,0.51540321,0.01858365,17.50
1926,Aug,163.01,8,305.31,0.533899971,0.018496761,17.40
1926,Sep,160.15,9,303.57,0.527547581,-0.00635239,17.50
1926,Oct,151.10,10,301.85,0.50059301,-0.026954571,17.60
1926,Nov,154.53,11,300.13,0.514863559,0.014270549,17.70
1926,Dec,159.14,12,300.13,0.530231103,0.015367544,17.70
1927,Jan,154.91,1,304.01,0.509563439,-0.020667664,17.50
1927,Feb,157.24,2,305.75,0.514290141,0.004726702,17.40
1927,Mar,160.21,3,307.52,0.520985556,0.006695416,17.30
1927,Apr,164.13,4,307.52,0.533708377,0.01272282,17.30
1927,May,169.03,5,305.75,0.55284663,0.019138253,17.40
1927,Jun,169.17,6,302.29,0.559623446,0.006776816,17.60
1927,Jul,175.50,7,307.52,0.570692963,0.011069517,17.30
1927,Aug,184.82,8,309.3,0.597552679,0.026859715,17.20
1927,Sep,195.88,9,307.52,0.636954313,0.039401635,17.30
1927,Oct,188.77,10,305.75,0.617386754,-0.01956756,17.40
1927,Nov,192.86,11,307.52,0.627141324,0.00975457,17.30
1927,Dec,198.27,12,307.52,0.644726166,0.017584842,17.30
1928,Jan,198.85,1,307.96,0.645705936,0.00097977,17.30
1928,Feb,195.62,2,311.58,0.627835129,-0.017870807,17.10
1928,Mar,203.96,3,311.58,0.654612215,0.026777086,17.10
1928,Apr,211.73,4,311.58,0.679549685,0.02493747,17.10
1928,May,217.20,5,309.75,0.701223861,0.021674176,17.20
1928,Jun,209.07,6,311.58,0.670995719,-0.030228142,17.10
1928,Jul,211.08,7,311.58,0.677435009,0.00643929,17.10
1928,Aug,224.02,8,311.58,0.718981868,0.041546859,17.10
1928,Sep,239.82,9,307.96,0.778726674,0.059744807,17.30
1928,Oct,248.72,10,309.75,0.802955237,0.024228562,17.20
1928,Nov,273.80,11,309.75,0.883952697,0.08099746,17.20
1928,Dec,280.78,12,311.58,0.901148983,0.017196286,17.10
1929,Jan,306.02,1,310.68,0.984985788,0.083836805,17.10
1929,Feb,309.94,2,310.68,0.997618128,0.01263234,17.10
1929,Mar,311.20,3,312.5,0.995826667,-0.001791461,17.00
1929,Apr,307.91,4,314.34,0.979549337,-0.01627733,16.90
1929,May,314.97,5,312.5,1.007901538,0.028352202,17.00
1929,Jun,315.44,6,310.68,1.015321231,0.007419692,17.10
1929,Jul,343.79,7,307.07,1.119576844,0.104255613,17.30
1929,Aug,360.71,8,307.07,1.174688307,0.055111463,17.30
1929,Sep,364.95,9,307.07,1.188491223,0.013802916,17.30
1929,Oct,320.61,10,307.07,1.044086665,-0.144404558,17.30
1929,Nov,232.59,11,307.07,0.757462851,-0.286623814,17.30
1929,Dec,246.88,12,308.85,0.799352436,0.041889585,17.20
1930,Jan,251.92,1,310.23,0.812052596,0.01270016,17.10
1930,Feb,268.56,2,312.05,0.860628396,0.0485758,17.00
1930,Mar,276.96,3,313.89,0.882339967,0.021711571,16.90
1930,Apr,288.19,4,312.05,0.923529883,0.041189916,17.00
1930,May,269.10,5,313.89,0.857319443,-0.06621044,16.90
1930,Jun,239.29,6,315.75,0.757852732,-0.099466712,16.80
1930,Jul,231.69,7,319.56,0.725021905,-0.032830826,16.60
1930,Aug,230.78,8,321.5,0.717835148,-0.007186757,16.50
1930,Sep,231.50,9,319.56,0.724421079,0.006585931,16.60
1930,Oct,196.18,10,321.5,0.610216533,-0.114204546,16.50
1930,Nov,182.47,11,323.45,0.56413903,-0.046077503,16.40
1930,Dec,169.89,12,329.49,0.515622045,-0.048516985,16.10
1931,Jan,168.50,1,364.26,0.462581672,-0.053040373,15.90
1931,Feb,181.31,2,368.92,0.491459099,0.028877427,15.70
1931,Mar,181.87,3,371.27,0.489846701,-0.001612398,15.60
1931,Apr,162.02,4,373.66,0.433613445,-0.056233255,15.50
1931,May,142.90,5,378.54,0.377503038,-0.056110407,15.30
1931,Jun,138.42,6,383.56,0.360890283,-0.016612755,15.10
1931,Jul,143.43,7,383.56,0.373936081,0.013045798,15.10
1931,Aug,138.78,8,383.56,0.361832869,-0.012103211,15.10
1931,Sep,118.83,9,386.13,0.307754729,-0.054078141,15.00
1931,Oct,101.96,10,388.71,0.26229758,-0.045457149,14.90
1931,Nov,104.02,11,393.99,0.264021267,0.001723687,14.70
1931,Dec,81.16,12,396.7,0.204597933,-0.059423334,14.60
1932,Jan,79.42,1,372.56,0.213184454,0.008586521,14.30
1932,Feb,80.02,2,377.86,0.211776158,-0.001408295,14.10
1932,Mar,81.47,3,380.56,0.214067124,0.002290966,14.00
1932,Apr,62.69,4,383.29,0.16356364,-0.050503483,13.90
1932,May,53.31,5,388.9,0.137084083,-0.026479557,13.70
1932,Jun,46.88,6,391.74,0.119673174,-0.017410909,13.60
1932,Jul,46.19,7,391.74,0.117903456,-0.001769718,13.60
1932,Aug,67.48,8,394.65,0.17098132,0.053077863,13.50
1932,Sep,72.56,9,397.6,0.18250503,0.011523711,13.40
1932,Oct,63.55,10,400.58,0.158639972,-0.023865058,13.30
1932,Nov,62.14,11,403.61,0.153964636,-0.004675336,13.20
1932,Dec,59.17,12,406.71,0.145473149,-0.008491486,13.10
1933,Jan,61.90,1,526.09,0.117668396,-0.027804753,12.90
1933,Feb,56.11,2,534.38,0.105006992,-0.012661404,12.70
1933,Mar,57.58,3,538.61,0.106900685,0.001893693,12.60
1933,Apr,64.97,4,538.61,0.12062686,0.013726176,12.60
1933,May,81.63,5,538.61,0.151565354,0.030938494,12.60
1933,Jun,94.06,6,534.38,0.176012748,0.024447394,12.70
1933,Jul,100.37,7,518.07,0.193739906,0.017727158,13.10
1933,Aug,98.41,8,514.13,0.191408196,-0.002331711,13.20
1933,Sep,100.37,9,514.13,0.195224619,0.003816423,13.20
1933,Oct,92.84,10,514.13,0.180576897,-0.014647722,13.20
1933,Nov,96.39,11,514.13,0.187476903,0.006900006,13.20
1933,Dec,99.32,12,514.13,0.193180713,0.00570381,13.20
1934,Jan,102.69,1,679.81,0.15105465,-0.042126063,13.20
1934,Feb,107.27,2,674.7,0.158986486,0.007931836,13.30
1934,Mar,102.07,3,674.7,0.151286612,-0.007699874,13.30
1934,Apr,104.26,4,674.7,0.154527938,0.003241327,13.30
1934,May,95.28,5,674.7,0.141219459,-0.013308479,13.30
1934,Jun,96.73,6,669.69,0.14443537,0.003215911,13.40
1934,Jul,94.48,7,669.69,0.141074228,-0.003361142,13.40
1934,Aug,91.62,8,669.69,0.136807356,-0.004266872,13.40
1934,Sep,90.54,9,659.82,0.137221768,0.000414411,13.60
1934,Oct,93.53,10,664.72,0.140707018,0.003485251,13.50
1934,Nov,99.29,11,664.72,0.149373126,0.008666108,13.50
1934,Dec,101.62,12,669.69,0.151741851,0.002368725,13.40
1935,Jan,103.09,1,659.82,0.156243078,0.004501227,13.60
1935,Feb,103.01,2,655.03,0.157265524,0.001022446,13.70
1935,Mar,99.85,3,655.03,0.152435766,-0.004829758,13.70
1935,Apr,105.98,4,650.27,0.162978455,0.010542689,13.80
1935,May,113.50,5,650.27,0.174542882,0.011564427,13.80
1935,Jun,116.85,6,655.03,0.178385723,0.003842841,13.70
1935,Jul,122.73,7,655.03,0.187366639,0.008980916,13.70
1935,Aug,127.15,8,655.03,0.19411042,0.006743781,13.70
1935,Sep,131.45,9,655.03,0.200677832,0.006567412,13.70
1935,Oct,135.43,10,655.03,0.206755063,0.006077232,13.70
1935,Nov,144.33,11,650.27,0.221961312,0.015206249,13.80
1935,Dec,141.70,12,650.27,0.217915635,-0.004045677,13.80
1936,Jan,145.93,1,650.27,0.224421572,0.006505937,13.80
1936,Feb,151.75,2,650.27,0.233361259,0.008939688,13.80
1936,Mar,155.91,3,655.03,0.238021981,0.004660722,13.70
1936,Apr,155.82,4,655.03,0.237876128,-0.000145854,13.70
1936,May,149.31,5,655.03,0.227940705,-0.009935423,13.70
1936,Jun,155.20,6,650.27,0.238670091,0.010729386,13.80
1936,Jul,162.29,7,645.58,0.251389925,0.012719834,13.90
1936,Aug,165.87,8,640.99,0.258770388,0.007380463,14.00
1936,Sep,167.82,9,640.99,0.261807516,0.003037129,14.00
1936,Oct,175.02,10,640.99,0.273039181,0.011231664,14.00
1936,Nov,182.09,11,640.99,0.284077613,0.011038432,14.00
1936,Dec,180.02,12,640.99,0.280853055,-0.003224557,14.00
1937,Jan,183.48,1,636.44,0.288291119,0.007438064,14.10
1937,Feb,188.04,2,636.44,0.29545026,0.007159141,14.10
1937,Mar,188.40,3,631.96,0.298120134,0.002669874,14.20
1937,Apr,179.34,4,627.52,0.285789236,-0.012330898,14.30
1937,May,173.05,5,623.18,0.277695315,-0.008093921,14.40
1937,Jun,170.09,6,623.18,0.272936329,-0.004758986,14.40
1937,Jul,180.25,7,618.87,0.291259877,0.018323548,14.50
1937,Aug,184.38,8,618.87,0.297931341,0.006671464,14.50
1937,Sep,160.10,9,614.64,0.260484186,-0.037447156,14.60
1937,Oct,138.60,10,614.64,0.225491345,-0.034992841,14.60
1937,Nov,125.09,11,618.87,0.202128564,-0.023362781,14.50
1937,Dec,125.55,12,623.18,0.201466671,-0.000661893,14.40
1938,Jan,128.38,1,631.96,0.203152098,0.001685427,14.20
1938,Feb,126.08,2,636.44,0.198104799,-0.005047299,14.10
1938,Mar,119.08,3,636.44,0.18709977,-0.011005029,14.10
1938,Apr,112.85,4,631.96,0.178574593,-0.008525177,14.20
1938,May,114.22,5,636.44,0.17946075,0.000886157,14.10
1938,Jun,118.79,6,636.44,0.186645185,0.007184435,14.10
1938,Jul,139.47,7,636.44,0.219137703,0.032492518,14.10
1938,Aug,140.97,8,636.44,0.221492469,0.002354765,14.10
1938,Sep,137.05,9,636.44,0.215341588,-0.006150881,14.10
1938,Oct,150.37,10,640.99,0.234587123,0.019245535,14.00
1938,Nov,151.97,11,640.99,0.237085704,0.002498581,14.00
1938,Dec,150.12,12,640.99,0.234205022,-0.002880682,14.00
1939,Jan,146.88,1,635.31,0.231200516,-0.003004506,14.00
1939,Feb,144.60,2,639.86,0.225979831,-0.005220685,13.90
1939,Mar,145.07,3,639.86,0.226716261,0.00073643,13.90
1939,Apr,127.73,4,644.51,0.198186736,-0.028529525,13.80
1939,May,132.56,5,644.51,0.205678017,0.00749128,13.80
1939,Jun,136.52,6,644.51,0.211812671,0.006134654,13.80
1939,Jul,139.26,7,644.51,0.21607733,0.004264659,13.80
1939,Aug,137.89,8,644.51,0.213949501,-0.00212783,13.80
1939,Sep,150.72,9,630.8,0.238934686,0.024985186,14.10
1939,Oct,152.16,10,635.31,0.23951142,0.000576734,14.00
1939,Nov,149.99,11,635.31,0.236084678,-0.003426742,14.00
1939,Dec,148.53,12,635.31,0.233794526,-0.002290152,14.00
1940,Jan,147.60,1,628.24,0.234935938,0.001141413,13.90
1940,Feb,147.28,2,623.77,0.236116852,0.001180914,14.00
1940,Mar,147.14,3,623.77,0.235881815,-0.000235036,14.00
1940,Apr,148.92,4,623.77,0.238740611,0.002858795,14.00
1940,May,130.77,5,623.77,0.209637181,-0.029103429,14.00
1940,Jun,119.48,6,619.35,0.192911924,-0.016725258,14.10
1940,Jul,122.23,7,623.77,0.19595487,0.003042946,14.00
1940,Aug,125.33,8,623.77,0.200922824,0.004967954,14.00
1940,Sep,131.46,9,623.77,0.210748086,0.009825262,14.00
1940,Oct,132.40,10,623.77,0.212263889,0.001515804,14.00
1940,Nov,133.90,11,623.77,0.214662456,0.002398567,14.00
1940,Dec,130.45,12,619.35,0.210620812,-0.004041644,14.10
1941,Jan,130.17,1,619.35,0.210170712,-0.0004501,14.10
1941,Feb,121.69,2,619.35,0.196481649,-0.013689064,14.10
1941,Mar,122.53,3,614.99,0.199246517,0.002764868,14.20
1941,Apr,119.11,4,610.66,0.195054531,-0.004191986,14.30
1941,May,116.44,5,606.44,0.192003267,-0.003051264,14.40
1941,Jun,121.58,6,594.04,0.204659619,0.012656351,14.70
1941,Jul,127.58,7,594.04,0.214767977,0.010108358,14.70
1941,Aug,126.68,8,586.07,0.216152967,0.001384989,14.90
1941,Sep,127.35,9,578.3,0.220210963,0.004057996,15.10
1941,Oct,121.80,10,570.74,0.213413895,-0.006797069,15.30
1941,Nov,116.91,11,567.06,0.206167056,-0.007246838,15.40
1941,Dec,110.68,12,563.39,0.196461803,-0.009705253,15.50
1942,Jan,111.12,1,556.23,0.199772092,0.003310289,15.70
1942,Feb,107.29,2,552.69,0.194116709,-0.005655384,15.80
1942,Mar,101.62,3,545.78,0.186197876,-0.007918832,16.00
1942,Apr,97.80,4,542.41,0.180313785,-0.005884092,16.10
